viti,komuna,variabla,gjinia,Mësimdhënësit sipas niveleve
2016/2017,Istog,Parashkollor,Meshkuj,-
2016/2017,Istog,Parashkollor,Femra,20
2016/2017,Istog,Parashkollor,Gjithsej,20
2016/2017,Istog,Paraf.fillor dhe i mesëm i ulët,Meshkuj,200
2016/2017,Istog,Paraf.fillor dhe i mesëm i ulët,Femra,194
2016/2017,Istog,Paraf.fillor dhe i mesëm i ulët,Gjithsej,394
2016/2017,Istog,I Mesëm i lartë,Meshkuj,73
2016/2017,Istog,I Mesëm i lartë,Femra,36
2016/2017,Istog,I Mesëm i lartë,Gjithsej,109
2016/2017,Junik,Parashkollor,Meshkuj,-
2016/2017,Junik,Parashkollor,Femra,-
2016/2017,Junik,Parashkollor,Gjithsej,-
2016/2017,Junik,Paraf.fillor dhe i mesëm i ulët,Meshkuj,19
2016/2017,Junik,Paraf.fillor dhe i mesëm i ulët,Femra,25
2016/2017,Junik,Paraf.fillor dhe i mesëm i ulët,Gjithsej,44
2016/2017,Junik,I Mesëm i lartë,Meshkuj,12
2016/2017,Junik,I Mesëm i lartë,Femra,5
2016/2017,Junik,I Mesëm i lartë,Gjithsej,17
2016/2017,Kaçanik,Parashkollor,Meshkuj,-
2016/2017,Kaçanik,Parashkollor,Femra,8
2016/2017,Kaçanik,Parashkollor,Gjithsej,8
2016/2017,Kaçanik,Paraf.fillor dhe i mesëm i ulët,Meshkuj,208
2016/2017,Kaçanik,Paraf.fillor dhe i mesëm i ulët,Femra,145
2016/2017,Kaçanik,Paraf.fillor dhe i mesëm i ulët,Gjithsej,353
2016/2017,Kaçanik,I Mesëm i lartë,Meshkuj,60
2016/2017,Kaçanik,I Mesëm i lartë,Femra,28
