Komuna,Viti Akademik,Niveli Akademik,Mosha,Gjinia,Numri i nxenesve
Leposaviq,2022-2023,mesem i larte,15-18,Mashkull,-
Leposaviq,2022-2023,mesem i larte,15-18,Femer,-
Lipjan,2022-2023,mesem i larte,15-18,Mashkull,1193
Lipjan,2022-2023,mesem i larte,15-18,Femer,1102
Malisheve,2022-2023,mesem i larte,15-18,Mashkull,913
Malisheve,2022-2023,mesem i larte,15-18,Femer,1080
Mamushe,2022-2023,mesem i larte,15-18,Mashkull,67
Mamushe,2022-2023,mesem i larte,15-18,Femer,61
Mitrovice,2022-2023,mesem i larte,15-18,Mashkull,1614
Mitrovice,2022-2023,mesem i larte,15-18,Femer,1854
Novoberde,2022-2023,mesem i larte,15-18,Mashkull,20
Novoberde,2022-2023,mesem i larte,15-18,Femer,30
Obiliq,2022-2023,mesem i larte,15-18,Mashkull,347
Obiliq,2022-2023,mesem i larte,15-18,Femer,281
Peje,2022-2023,mesem i larte,15-18,Mashkull,1872
Peje,2022-2023,mesem i larte,15-18,Femer,1739
Podujeve,2022-2023,mesem i larte,15-18,Mashkull,1700
Podujeve,2022-2023,mesem i larte,15-18,Femer,1660
Prishtine,2022-2023,mesem i larte,15-18,Mashkull,4447
Prishtine,2022-2023,mesem i larte,15-18,Femer,4671
Prizren,2022-2023,mesem i larte,15-18,Mashkull,2905
Prizren,2022-2023,mesem i larte,15-18,Femer,2920
Rahovec,2022-2023,mesem i larte,15-18,Mashkull,712
Rahovec,2022-2023,mesem i larte,15-18,Femer,608
Shterpce,2022-2023,mesem i larte,15-18,Mashkull,56
Shterpce,2022-2023,mesem i larte,15-18,Femer,42
Shtime,2022-2023,mesem i larte,15-18,Mashkull,528
Shtime,2022-2023,mesem i larte,15-18,Femer,436
Skenderaj,2022-2023,mesem i larte,15-18,Mashkull,999
Skenderaj,2022-2023,mesem i larte,15-18,Femer,906
Suhareke,2022-2023,mesem i larte,15-18,Mashkull,999
Suhareke,2022-2023,mesem i larte,15-18,Femer,941
Viti,2022-2023,mesem i larte,15-18,Mashkull,715
Viti,2022-2023,mesem i larte,15-18,Femer,687
Vushtrri,2022-2023,mesem i larte,15-18,Mashkull,1308
Vushtrri,2022-2023,mesem i larte,15-18,Femer,1079
Zubin Potok,2022-2023,mesem i larte,15-18,Mashkull,-
Zubin Potok,2022-2023,mesem i larte,15-18,Femer,-
Zveqan,2022-2023,mesem i larte,15-18,Mashkull,-
Zveqan,2022-2023,mesem i larte,15-18,Femer,-
Kllokot,2022-2023,mesem i larte,15-18,Mashkull,-
Kllokot,2022-2023,mesem i larte,15-18,Femer,-
Deqan,2023-2024,mesem i larte,15-18,Mashkull,503
Deqan,2023-2024,mesem i larte,15-18,Femer,420
Dargash,2023-2024,mesem i larte,15-18,Mashkull,192
Dargash,2023-2024,mesem i larte,15-18,Femer,207
Ferizaj,2023-2024,mesem i larte,15-18,Mashkull,2537
Ferizaj,2023-2024,mesem i larte,15-18,Femer,2724
Fushe Kosove,2023-2024,mesem i larte,15-18,Mashkull,668
Fushe Kosove,2023-2024,mesem i larte,15-18,Femer,655
Gjakove,2023-2024,mesem i larte,15-18,Mashkull,1560
Gjakove,2023-2024,mesem i larte,15-18,Femer,1574
Gjilan,2023-2024,mesem i larte,15-18,Mashkull,1795
Gjilan,2023-2024,mesem i larte,15-18,Femer,1860
Gllogovc,2023-2024,mesem i larte,15-18,Mashkull,1152
Gllogovc,2023-2024,mesem i larte,15-18,Femer,1123
Hani i Elezit,2023-2024,mesem i larte,15-18,Mashkull,124
Hani i Elezit,2023-2024,mesem i larte,15-18,Femer,135
Istog,2023-2024,mesem i larte,15-18,Mashkull,676
Istog,2023-2024,mesem i larte,15-18,Femer,565
Junik,2023-2024,mesem i larte,15-18,Mashkull,111
Junik,2023-2024,mesem i larte,15-18,Femer,123
Kaqanik,2023-2024,mesem i larte,15-18,Mashkull,523
Kaqanik,2023-2024,mesem i larte,15-18,Femer,446
Kamenice,2023-2024,mesem i larte,15-18,Mashkull,387
Kamenice,2023-2024,mesem i larte,15-18,Femer,325
Kline,2023-2024,mesem i larte,15-18,Mashkull,647
Kline,2023-2024,mesem i larte,15-18,Femer,631
Leposaviq,2023-2024,mesem i larte,15-18,Mashkull,-
Leposaviq,2023-2024,mesem i larte,15-18,Femer,-
Lipjan,2023-2024,mesem i larte,15-18,Mashkull,1126
Lipjan,2023-2024,mesem i larte,15-18,Femer,1093
Malisheve,2023-2024,mesem i larte,15-18,Mashkull,869
Malisheve,2023-2024,mesem i larte,15-18,Femer,1116
Mamushe,2023-2024,mesem i larte,15-18,Mashkull,51
Mamushe,2023-2024,mesem i larte,15-18,Femer,51
Mitrovice,2023-2024,mesem i larte,15-18,Mashkull,1532
Mitrovice,2023-2024,mesem i larte,15-18,Femer,1776
Novoberde,2023-2024,mesem i larte,15-18,Mashkull,23
Novoberde,2023-2024,mesem i larte,15-18,Femer,24
Obiliq,2023-2024,mesem i larte,15-18,Mashkull,355
Obiliq,2023-2024,mesem i larte,15-18,Femer,262
Peje,2023-2024,mesem i larte,15-18,Mashkull,1792
Peje,2023-2024,mesem i larte,15-18,Femer,1713
Podujeve,2023-2024,mesem i larte,15-18,Mashkull,1666
Podujeve,2023-2024,mesem i larte,15-18,Femer,1603
Prishtine,2023-2024,mesem i larte,15-18,Mashkull,4253
Prishtine,2023-2024,mesem i larte,15-18,Femer,4561
Prizren,2023-2024,mesem i larte,15-18,Mashkull,2760
Prizren,2023-2024,mesem i larte,15-18,Femer,2883
Rahovec,2023-2024,mesem i larte,15-18,Mashkull,645
Rahovec,2023-2024,mesem i larte,15-18,Femer,540
Shterpce,2023-2024,mesem i larte,15-18,Mashkull,40
Shterpce,2023-2024,mesem i larte,15-18,Femer,36
Shtime,2023-2024,mesem i larte,15-18,Mashkull,498
Shtime,2023-2024,mesem i larte,15-18,Femer,436
Skenderaj,2023-2024,mesem i larte,15-18,Mashkull,1044
Skenderaj,2023-2024,mesem i larte,15-18,Femer,865
Suhareke,2023-2024,mesem i larte,15-18,Mashkull,961
Suhareke,2023-2024,mesem i larte,15-18,Femer,942
Viti,2023-2024,mesem i larte,15-18,Mashkull,734
Viti,2023-2024,mesem i larte,15-18,Femer,659
Vushtrri,2023-2024,mesem i larte,15-18,Mashkull,1206
Vushtrri,2023-2024,mesem i larte,15-18,Femer,1059
Zubin Potok,2023-2024,mesem i larte,15-18,Mashkull,-
Zubin Potok,2023-2024,mesem i larte,15-18,Femer,-
Zveqan,2023-2024,mesem i larte,15-18,Mashkull,-
Zveqan,2023-2024,mesem i larte,15-18,Femer,-
Kllokot,2023-2024,mesem i larte,15-18,Mashkull,-
Kllokot,2023-2024,mesem i larte,15-18,Femer,-
Deqan,2015-2016,Institucionet publike parauniversitare,18-19,Mashkull,3327
Deqan,2015-2016,Institucionet publike parauniversitare,18-19,Femer,3120
Dargash,2015-2016,Institucionet publike parauniversitare,18-19,Mashkull,2561
Dargash,2015-2016,Institucionet publike parauniversitare,18-19,Femer,2383
Ferizaj,2015-2016,Institucionet publike parauniversitare,18-19,Mashkull,13187
Ferizaj,2015-2016,Institucionet publike parauniversitare,18-19,Femer,12509
Fushe Kosove,2015-2016,Institucionet publike parauniversitare,18-19,Mashkull,3894
Fushe Kosove,2015-2016,Institucionet publike parauniversitare,18-19,Femer,3645
Gjakove,2015-2016,Institucionet publike parauniversitare,18-19,Mashkull,10219
Gjakove,2015-2016,Institucionet publike parauniversitare,18-19,Femer,9065
Gjilan,2015-2016,Institucionet publike parauniversitare,18-19,Mashkull,9830
Gjilan,2015-2016,Institucionet publike parauniversitare,18-19,Femer,9698
Gllogovc,2015-2016,Institucionet publike parauniversitare,18-19,Mashkull,7016
Gllogovc,2015-2016,Institucionet publike parauniversitare,18-19,Femer,6438
Hani i Elezit,2015-2016,Institucionet publike parauniversitare,18-19,Mashkull,1011
Hani i Elezit,2015-2016,Institucionet publike parauniversitare,18-19,Femer,940
Istog,2015-2016,Institucionet publike parauniversitare,18-19,Mashkull,4386
Istog,2015-2016,Institucionet publike parauniversitare,18-19,Femer,3886
Junik,2015-2016,Institucionet publike parauniversitare,18-19,Mashkull,458
Junik,2015-2016,Institucionet publike parauniversitare,18-19,Femer,405
Kaqanik,2015-2016,Institucionet publike parauniversitare,18-19,Mashkull,3470
Kaqanik,2015-2016,Institucionet publike parauniversitare,18-19,Femer,3283
Kamenice,2015-2016,Institucionet publike parauniversitare,18-19,Mashkull,2917
Kamenice,2015-2016,Institucionet publike parauniversitare,18-19,Femer,2726
Kline,2015-2016,Institucionet publike parauniversitare,18-19,Mashkull,4427
Kline,2015-2016,Institucionet publike parauniversitare,18-19,Femer,4300
Leposaviq,2015-2016,Institucionet publike parauniversitare,18-19,Mashkull,14
Leposaviq,2015-2016,Institucionet publike parauniversitare,18-19,Femer,16
Lipjan,2015-2016,Institucionet publike parauniversitare,18-19,Mashkull,7011
Lipjan,2015-2016,Institucionet publike parauniversitare,18-19,Femer,6363
Malisheve,2015-2016,Institucionet publike parauniversitare,18-19,Mashkull,7746
Malisheve,2015-2016,Institucionet publike parauniversitare,18-19,Femer,7275
Mamushe,2015-2016,Institucionet publike parauniversitare,18-19,Mashkull,489
Mamushe,2015-2016,Institucionet publike parauniversitare,18-19,Femer,521
Mitrovice,2015-2016,Institucionet publike parauniversitare,18-19,Mashkull,8860
Mitrovice,2015-2016,Institucionet publike parauniversitare,18-19,Femer,8312
Novoberde,2015-2016,Institucionet publike parauniversitare,18-19,Mashkull,302
Novoberde,2015-2016,Institucionet publike parauniversitare,18-19,Femer,265
Obiliq,2015-2016,Institucionet publike parauniversitare,18-19,Mashkull,2243
Obiliq,2015-2016,Institucionet publike parauniversitare,18-19,Femer,2125
Peje,2015-2016,Institucionet publike parauniversitare,18-19,Mashkull,10287
Peje,2015-2016,Institucionet publike parauniversitare,18-19,Femer,9564
Podujeve,2015-2016,Institucionet publike parauniversitare,18-19,Mashkull,10198
Podujeve,2015-2016,Institucionet publike parauniversitare,18-19,Femer,9552
Prishtine,2015-2016,Institucionet publike parauniversitare,18-19,Mashkull,23235
Prishtine,2015-2016,Institucionet publike parauniversitare,18-19,Femer,22105
Prizren,2015-2016,Institucionet publike parauniversitare,18-19,Mashkull,17481
Prizren,2015-2016,Institucionet publike parauniversitare,18-19,Femer,16018
Rahovec,2015-2016,Institucionet publike parauniversitare,18-19,Mashkull,6163
Rahovec,2015-2016,Institucionet publike parauniversitare,18-19,Femer,5405
Shterpce,2015-2016,Institucionet publike parauniversitare,18-19,Mashkull,343
Shterpce,2015-2016,Institucionet publike parauniversitare,18-19,Femer,375
Shtime,2015-2016,Institucionet publike parauniversitare,18-19,Mashkull,3291
Shtime,2015-2016,Institucionet publike parauniversitare,18-19,Femer,3062
Skenderaj,2015-2016,Institucionet publike parauniversitare,18-19,Mashkull,6101
Skenderaj,2015-2016,Institucionet publike parauniversitare,18-19,Femer,5630
Suhareke,2015-2016,Institucionet publike parauniversitare,18-19,Mashkull,6996
Suhareke,2015-2016,Institucionet publike parauniversitare,18-19,Femer,6235
Viti,2015-2016,Institucionet publike parauniversitare,18-19,Mashkull,5099
Viti,2015-2016,Institucionet publike parauniversitare,18-19,Femer,4894
Vushtrri,2015-2016,Institucionet publike parauniversitare,18-19,Mashkull,7792
Vushtrri,2015-2016,Institucionet publike parauniversitare,18-19,Femer,7142
Zubin Potok,2015-2016,Institucionet publike parauniversitare,18-19,Mashkull,59
Zubin Potok,2015-2016,Institucionet publike parauniversitare,18-19,Femer,57
Zveqan,2015-2016,Institucionet publike parauniversitare,18-19,Mashkull,26
Zveqan,2015-2016,Institucionet publike parauniversitare,18-19,Femer,29
Kllokot,2015-2016,Institucionet publike parauniversitare,18-19,Mashkull,86
Kllokot,2015-2016,Institucionet publike parauniversitare,18-19,Femer,72
Deqan,2016-2017,Institucionet publike parauniversitare,18-19,Mashkull,3207
Deqan,2016-2017,Institucionet publike parauniversitare,18-19,Femer,2912
Dargash,2016-2017,Institucionet publike parauniversitare,18-19,Mashkull,2298
Dargash,2016-2017,Institucionet publike parauniversitare,18-19,Femer,2175
Ferizaj,2016-2017,Institucionet publike parauniversitare,18-19,Mashkull,13077
Ferizaj,2016-2017,Institucionet publike parauniversitare,18-19,Femer,12387
Fushe Kosove,2016-2017,Institucionet publike parauniversitare,18-19,Mashkull,4094
Fushe Kosove,2016-2017,Institucionet publike parauniversitare,18-19,Femer,3810
Gjakove,2016-2017,Institucionet publike parauniversitare,18-19,Mashkull,9908
Gjakove,2016-2017,Institucionet publike parauniversitare,18-19,Femer,8770
Gjilan,2016-2017,Institucionet publike parauniversitare,18-19,Mashkull,9555
Gjilan,2016-2017,Institucionet publike parauniversitare,18-19,Femer,9543
Gllogovc,2016-2017,Institucionet publike parauniversitare,18-19,Mashkull,6782
Gllogovc,2016-2017,Institucionet publike parauniversitare,18-19,Femer,6279
Hani i Elezit,2016-2017,Institucionet publike parauniversitare,18-19,Mashkull,988
Hani i Elezit,2016-2017,Institucionet publike parauniversitare,18-19,Femer,910
Istog,2016-2017,Institucionet publike parauniversitare,18-19,Mashkull,4210
Istog,2016-2017,Institucionet publike parauniversitare,18-19,Femer,3782
Junik,2016-2017,Institucionet publike parauniversitare,18-19,Mashkull,446
Junik,2016-2017,Institucionet publike parauniversitare,18-19,Femer,388
Kaqanik,2016-2017,Institucionet publike parauniversitare,18-19,Mashkull,3505
Kaqanik,2016-2017,Institucionet publike parauniversitare,18-19,Femer,3284
Kamenice,2016-2017,Institucionet publike parauniversitare,18-19,Mashkull,2750
Kamenice,2016-2017,Institucionet publike parauniversitare,18-19,Femer,2588
Kline,2016-2017,Institucionet publike parauniversitare,18-19,Mashkull,4374
Kline,2016-2017,Institucionet publike parauniversitare,18-19,Femer,4247
Leposaviq,2016-2017,Institucionet publike parauniversitare,18-19,Mashkull,14
Leposaviq,2016-2017,Institucionet publike parauniversitare,18-19,Femer,15
Lipjan,2016-2017,Institucionet publike parauniversitare,18-19,Mashkull,6899
Lipjan,2016-2017,Institucionet publike parauniversitare,18-19,Femer,6356
Malisheve,2016-2017,Institucionet publike parauniversitare,18-19,Mashkull,7344
Malisheve,2016-2017,Institucionet publike parauniversitare,18-19,Femer,6945
Mamushe,2016-2017,Institucionet publike parauniversitare,18-19,Mashkull,520
Mamushe,2016-2017,Institucionet publike parauniversitare,18-19,Femer,458
Mitrovice,2016-2017,Institucionet publike parauniversitare,18-19,Mashkull,8774
Mitrovice,2016-2017,Institucionet publike parauniversitare,18-19,Femer,8279
Novoberde,2016-2017,Institucionet publike parauniversitare,18-19,Mashkull,313
Novoberde,2016-2017,Institucionet publike parauniversitare,18-19,Femer,275
Obiliq,2016-2017,Institucionet publike parauniversitare,18-19,Mashkull,2273
Obiliq,2016-2017,Institucionet publike parauniversitare,18-19,Femer,2090
Peje,2016-2017,Institucionet publike parauniversitare,18-19,Mashkull,10040
Peje,2016-2017,Institucionet publike parauniversitare,18-19,Femer,9474
Podujeve,2016-2017,Institucionet publike parauniversitare,18-19,Mashkull,10119
Podujeve,2016-2017,Institucionet publike parauniversitare,18-19,Femer,9613
Prishtine,2016-2017,Institucionet publike parauniversitare,18-19,Mashkull,22965
Prishtine,2016-2017,Institucionet publike parauniversitare,18-19,Femer,21951
Prizren,2016-2017,Institucionet publike parauniversitare,18-19,Mashkull,16957
Prizren,2016-2017,Institucionet publike parauniversitare,18-19,Femer,15615
Rahovec,2016-2017,Institucionet publike parauniversitare,18-19,Mashkull,5991
Rahovec,2016-2017,Institucionet publike parauniversitare,18-19,Femer,5262
Shterpce,2016-2017,Institucionet publike parauniversitare,18-19,Mashkull,384
Shterpce,2016-2017,Institucionet publike parauniversitare,18-19,Femer,355
Shtime,2016-2017,Institucionet publike parauniversitare,18-19,Mashkull,3214
Shtime,2016-2017,Institucionet publike parauniversitare,18-19,Femer,3042
Skenderaj,2016-2017,Institucionet publike parauniversitare,18-19,Mashkull,5783
Skenderaj,2016-2017,Institucionet publike parauniversitare,18-19,Femer,5414
Suhareke,2016-2017,Institucionet publike parauniversitare,18-19,Mashkull,6691
Suhareke,2016-2017,Institucionet publike parauniversitare,18-19,Femer,6008
Viti,2016-2017,Institucionet publike parauniversitare,18-19,Mashkull,4952
Viti,2016-2017,Institucionet publike parauniversitare,18-19,Femer,4692
Vushtrri,2016-2017,Institucionet publike parauniversitare,18-19,Mashkull,7629
Vushtrri,2016-2017,Institucionet publike parauniversitare,18-19,Femer,6948
Zubin Potok,2016-2017,Institucionet publike parauniversitare,18-19,Mashkull,62
Zubin Potok,2016-2017,Institucionet publike parauniversitare,18-19,Femer,58
Zveqan,2016-2017,Institucionet publike parauniversitare,18-19,Mashkull,27
Zveqan,2016-2017,Institucionet publike parauniversitare,18-19,Femer,31
Kllokot,2016-2017,Institucionet publike parauniversitare,18-19,Mashkull,65
Kllokot,2016-2017,Institucionet publike parauniversitare,18-19,Femer,71
Deqan,2017-2018,Institucionet publike parauniversitare,18-19,Mashkull,3128
Deqan,2017-2018,Institucionet publike parauniversitare,18-19,Femer,2858
Dargash,2017-2018,Institucionet publike parauniversitare,18-19,Mashkull,2219
Dargash,2017-2018,Institucionet publike parauniversitare,18-19,Femer,2113
Ferizaj,2017-2018,Institucionet publike parauniversitare,18-19,Mashkull,12858
Ferizaj,2017-2018,Institucionet publike parauniversitare,18-19,Femer,12235
Fushe Kosove,2017-2018,Institucionet publike parauniversitare,18-19,Mashkull,4261
Fushe Kosove,2017-2018,Institucionet publike parauniversitare,18-19,Femer,3999
Gjakove,2017-2018,Institucionet publike parauniversitare,18-19,Mashkull,9651
Gjakove,2017-2018,Institucionet publike parauniversitare,18-19,Femer,8666
Gjilan,2017-2018,Institucionet publike parauniversitare,18-19,Mashkull,9396
Gjilan,2017-2018,Institucionet publike parauniversitare,18-19,Femer,9217
Gllogovc,2017-2018,Institucionet publike parauniversitare,18-19,Mashkull,6780
Gllogovc,2017-2018,Institucionet publike parauniversitare,18-19,Femer,6286
Hani i Elezit,2017-2018,Institucionet publike parauniversitare,18-19,Mashkull,977
Hani i Elezit,2017-2018,Institucionet publike parauniversitare,18-19,Femer,906
Istog,2017-2018,Institucionet publike parauniversitare,18-19,Mashkull,4068
Istog,2017-2018,Institucionet publike parauniversitare,18-19,Femer,3655
Junik,2017-2018,Institucionet publike parauniversitare,18-19,Mashkull,452
Junik,2017-2018,Institucionet publike parauniversitare,18-19,Femer,412
Kaqanik,2017-2018,Institucionet publike parauniversitare,18-19,Mashkull,3448
Kaqanik,2017-2018,Institucionet publike parauniversitare,18-19,Femer,3265
Kamenice,2017-2018,Institucionet publike parauniversitare,18-19,Mashkull,2664
Kamenice,2017-2018,Institucionet publike parauniversitare,18-19,Femer,2518
Kline,2017-2018,Institucionet publike parauniversitare,18-19,Mashkull,4282
Kline,2017-2018,Institucionet publike parauniversitare,18-19,Femer,4201
Leposaviq,2017-2018,Institucionet publike parauniversitare,18-19,Mashkull,14
Leposaviq,2017-2018,Institucionet publike parauniversitare,18-19,Femer,10
Lipjan,2017-2018,Institucionet publike parauniversitare,18-19,Mashkull,6876
Lipjan,2017-2018,Institucionet publike parauniversitare,18-19,Femer,6296
Malisheve,2017-2018,Institucionet publike parauniversitare,18-19,Mashkull,6897
Malisheve,2017-2018,Institucionet publike parauniversitare,18-19,Femer,6759
Mamushe,2017-2018,Institucionet publike parauniversitare,18-19,Mashkull,394
Mamushe,2017-2018,Institucionet publike parauniversitare,18-19,Femer,359
Mitrovice,2017-2018,Institucionet publike parauniversitare,18-19,Mashkull,8490
Mitrovice,2017-2018,Institucionet publike parauniversitare,18-19,Femer,8409
Novoberde,2017-2018,Institucionet publike parauniversitare,18-19,Mashkull,309
Novoberde,2017-2018,Institucionet publike parauniversitare,18-19,Femer,282
Obiliq,2017-2018,Institucionet publike parauniversitare,18-19,Mashkull,2229
Obiliq,2017-2018,Institucionet publike parauniversitare,18-19,Femer,2119
Peje,2017-2018,Institucionet publike parauniversitare,18-19,Mashkull,10004
Peje,2017-2018,Institucionet publike parauniversitare,18-19,Femer,9542
Podujeve,2017-2018,Institucionet publike parauniversitare,18-19,Mashkull,9877
Podujeve,2017-2018,Institucionet publike parauniversitare,18-19,Femer,9482
Prishtine,2017-2018,Institucionet publike parauniversitare,18-19,Mashkull,22905
Prishtine,2017-2018,Institucionet publike parauniversitare,18-19,Femer,21875
Prizren,2017-2018,Institucionet publike parauniversitare,18-19,Mashkull,16592
Prizren,2017-2018,Institucionet publike parauniversitare,18-19,Femer,15461
Rahovec,2017-2018,Institucionet publike parauniversitare,18-19,Mashkull,5627
Rahovec,2017-2018,Institucionet publike parauniversitare,18-19,Femer,5057
Shterpce,2017-2018,Institucionet publike parauniversitare,18-19,Mashkull,343
Shterpce,2017-2018,Institucionet publike parauniversitare,18-19,Femer,350
Shtime,2017-2018,Institucionet publike parauniversitare,18-19,Mashkull,3191
Shtime,2017-2018,Institucionet publike parauniversitare,18-19,Femer,2999
Skenderaj,2017-2018,Institucionet publike parauniversitare,18-19,Mashkull,5614
Skenderaj,2017-2018,Institucionet publike parauniversitare,18-19,Femer,5139
Suhareke,2017-2018,Institucionet publike parauniversitare,18-19,Mashkull,6400
Suhareke,2017-2018,Institucionet publike parauniversitare,18-19,Femer,5810
Viti,2017-2018,Institucionet publike parauniversitare,18-19,Mashkull,4723
Viti,2017-2018,Institucionet publike parauniversitare,18-19,Femer,4503
Vushtrri,2017-2018,Institucionet publike parauniversitare,18-19,Mashkull,7694
Vushtrri,2017-2018,Institucionet publike parauniversitare,18-19,Femer,7005
Zubin Potok,2017-2018,Institucionet publike parauniversitare,18-19,Mashkull,60
Zubin Potok,2017-2018,Institucionet publike parauniversitare,18-19,Femer,53
Zveqan,2017-2018,Institucionet publike parauniversitare,18-19,Mashkull,28
Zveqan,2017-2018,Institucionet publike parauniversitare,18-19,Femer,34
Kllokot,2017-2018,Institucionet publike parauniversitare,18-19,Mashkull,64
Kllokot,2017-2018,Institucionet publike parauniversitare,18-19,Femer,64
Deqan,2018-2019,Institucionet publike parauniversitare,18-19,Mashkull,3012
Deqan,2018-2019,Institucionet publike parauniversitare,18-19,Femer,2722
Dargash,2018-2019,Institucionet publike parauniversitare,18-19,Mashkull,2089
Dargash,2018-2019,Institucionet publike parauniversitare,18-19,Femer,1947
Ferizaj,2018-2019,Institucionet publike parauniversitare,18-19,Mashkull,1236
Ferizaj,2018-2019,Institucionet publike parauniversitare,18-19,Femer,11806
Fushe Kosove,2018-2019,Institucionet publike parauniversitare,18-19,Mashkull,4369
Fushe Kosove,2018-2019,Institucionet publike parauniversitare,18-19,Femer,4178
Gjakove,2018-2019,Institucionet publike parauniversitare,18-19,Mashkull,9323
Gjakove,2018-2019,Institucionet publike parauniversitare,18-19,Femer,8456
Gjilan,2018-2019,Institucionet publike parauniversitare,18-19,Mashkull,9
Gjilan,2018-2019,Institucionet publike parauniversitare,18-19,Femer,8819
Gllogovc,2018-2019,Institucionet publike parauniversitare,18-19,Mashkull,6425
Gllogovc,2018-2019,Institucionet publike parauniversitare,18-19,Femer,6017
Hani i Elezit,2018-2019,Institucionet publike parauniversitare,18-19,Mashkull,945
Hani i Elezit,2018-2019,Institucionet publike parauniversitare,18-19,Femer,875
Istog,2018-2019,Institucionet publike parauniversitare,18-19,Mashkull,3922
Istog,2018-2019,Institucionet publike parauniversitare,18-19,Femer,3549
Junik,2018-2019,Institucionet publike parauniversitare,18-19,Mashkull,439
Junik,2018-2019,Institucionet publike parauniversitare,18-19,Femer,402
Kaqanik,2018-2019,Institucionet publike parauniversitare,18-19,Mashkull,3389
Kaqanik,2018-2019,Institucionet publike parauniversitare,18-19,Femer,3123
Kamenice,2018-2019,Institucionet publike parauniversitare,18-19,Mashkull,2468
Kamenice,2018-2019,Institucionet publike parauniversitare,18-19,Femer,2312
Kline,2018-2019,Institucionet publike parauniversitare,18-19,Mashkull,4091
Kline,2018-2019,Institucionet publike parauniversitare,18-19,Femer,4018
Leposaviq,2018-2019,Institucionet publike parauniversitare,18-19,Mashkull,13
Leposaviq,2018-2019,Institucionet publike parauniversitare,18-19,Femer,9
Lipjan,2018-2019,Institucionet publike parauniversitare,18-19,Mashkull,6613
Lipjan,2018-2019,Institucionet publike parauniversitare,18-19,Femer,6212
Malisheve,2018-2019,Institucionet publike parauniversitare,18-19,Mashkull,6559
Malisheve,2018-2019,Institucionet publike parauniversitare,18-19,Femer,6412
Mamushe,2018-2019,Institucionet publike parauniversitare,18-19,Mashkull,473
Mamushe,2018-2019,Institucionet publike parauniversitare,18-19,Femer,433
Mitrovice,2018-2019,Institucionet publike parauniversitare,18-19,Mashkull,8279
Mitrovice,2018-2019,Institucionet publike parauniversitare,18-19,Femer,8306
Novoberde,2018-2019,Institucionet publike parauniversitare,18-19,Mashkull,301
Novoberde,2018-2019,Institucionet publike parauniversitare,18-19,Femer,285
Obiliq,2018-2019,Institucionet publike parauniversitare,18-19,Mashkull,2213
Obiliq,2018-2019,Institucionet publike parauniversitare,18-19,Femer,2091
Peje,2018-2019,Institucionet publike parauniversitare,18-19,Mashkull,9567
Peje,2018-2019,Institucionet publike parauniversitare,18-19,Femer,9169
Podujeve,2018-2019,Institucionet publike parauniversitare,18-19,Mashkull,9499
Podujeve,2018-2019,Institucionet publike parauniversitare,18-19,Femer,9131
Prishtine,2018-2019,Institucionet publike parauniversitare,18-19,Mashkull,22514
Prishtine,2018-2019,Institucionet publike parauniversitare,18-19,Femer,21794
Prizren,2018-2019,Institucionet publike parauniversitare,18-19,Mashkull,15817
Prizren,2018-2019,Institucionet publike parauniversitare,18-19,Femer,14856
Rahovec,2018-2019,Institucionet publike parauniversitare,18-19,Mashkull,5293
Rahovec,2018-2019,Institucionet publike parauniversitare,18-19,Femer,48
Shterpce,2018-2019,Institucionet publike parauniversitare,18-19,Mashkull,325
Shterpce,2018-2019,Institucionet publike parauniversitare,18-19,Femer,326
Shtime,2018-2019,Institucionet publike parauniversitare,18-19,Mashkull,3072
Shtime,2018-2019,Institucionet publike parauniversitare,18-19,Femer,2859
Skenderaj,2018-2019,Institucionet publike parauniversitare,18-19,Mashkull,5416
Skenderaj,2018-2019,Institucionet publike parauniversitare,18-19,Femer,4912
Suhareke,2018-2019,Institucionet publike parauniversitare,18-19,Mashkull,5999
Suhareke,2018-2019,Institucionet publike parauniversitare,18-19,Femer,5519
Viti,2018-2019,Institucionet publike parauniversitare,18-19,Mashkull,4472
Viti,2018-2019,Institucionet publike parauniversitare,18-19,Femer,4257
Vushtrri,2018-2019,Institucionet publike parauniversitare,18-19,Mashkull,7407
Vushtrri,2018-2019,Institucionet publike parauniversitare,18-19,Femer,6808
Zubin Potok,2018-2019,Institucionet publike parauniversitare,18-19,Mashkull,55
Zubin Potok,2018-2019,Institucionet publike parauniversitare,18-19,Femer,50
Zveqan,2018-2019,Institucionet publike parauniversitare,18-19,Mashkull,30
Zveqan,2018-2019,Institucionet publike parauniversitare,18-19,Femer,34
Kllokot,2018-2019,Institucionet publike parauniversitare,18-19,Mashkull,57
Kllokot,2018-2019,Institucionet publike parauniversitare,18-19,Femer,59
Deqan,2019-2020,Institucionet publike parauniversitare,18-19,Mashkull,2866
Deqan,2019-2020,Institucionet publike parauniversitare,18-19,Femer,2629
Dargash,2019-2020,Institucionet publike parauniversitare,18-19,Mashkull,1975
Dargash,2019-2020,Institucionet publike parauniversitare,18-19,Femer,1856
Ferizaj,2019-2020,Institucionet publike parauniversitare,18-19,Mashkull,11959
Ferizaj,2019-2020,Institucionet publike parauniversitare,18-19,Femer,11800
Fushe Kosove,2019-2020,Institucionet publike parauniversitare,18-19,Mashkull,4528
Fushe Kosove,2019-2020,Institucionet publike parauniversitare,18-19,Femer,4288
